Date,Description,Amount,Category,PaymentMethod,Location,AccountType,TransactionType,DeviceUsed,Currency,MerchantType,LoyaltyProgram,Weekday,Month,TimeOfDay
11-09-2025,Transaction at OYO,4912.14,Travel,UPI,Delhi,Salary,Debit,Mobile,INR,Service,Yes,Thursday,September,Morning
11-09-2025,Transaction at Nike,1944.32,Clothing,UPI,Chennai,Credit Card,Debit,POS Terminal,INR,Retail,No,Thursday,September,Afternoon
11-09-2025,Transaction at Tata Cliq,7523.44,Online Shopping,Net Banking,Kolkata,Current,Debit,Mobile,INR,Online Store,Yes,Thursday,September,Evening
11-09-2025,Transaction at Netflix,375.7,Entertainment,UPI,Kolkata,Salary,Debit,Mobile,INR,Subscription,No,Thursday,September,Morning
11-09-2025,Transaction at Hotstar,713.45,Entertainment,Credit Card,Bangalore,Credit Card,Debit,POS Terminal,INR,Subscription,Yes,Thursday,September,Evening
11-09-2025,Transaction at Amazon Prime,348.28,Entertainment,Credit Card,Bangalore,Current,Debit,Desktop,INR,Subscription,Yes,Thursday,September,Night
11-09-2025,Transaction at Spencers,1353.89,Grocery,Credit Card,Pune,Salary,Debit,Desktop,INR,Retail,No,Thursday,September,Afternoon
11-09-2025,Transaction at Nature's Basket,2523.88,Grocery,UPI,Kolkata,Salary,Debit,Desktop,INR,Retail,No,Thursday,September,Morning
11-09-2025,Transaction at Pepperfry,4407.44,Online Shopping,UPI,Pune,Salary,Debit,Mobile,INR,Online Store,Yes,Thursday,September,Afternoon
11-09-2025,Transaction at Woodland,744.37,Clothing,Net Banking,Mumbai,Salary,Debit,Mobile,INR,Retail,Yes,Thursday,September,Night
11-09-2025,Transaction at Chai Point,389.56,Food,Debit Card,Delhi,Savings,Debit,Mobile,INR,Restaurant,Yes,Thursday,September,Night
11-09-2025,Transaction at ACT Fibernet,5762.81,Bills,UPI,Delhi,Salary,Debit,Mobile,INR,Service,No,Thursday,September,Night
11-09-2025,Transaction at H&M,1058.36,Clothing,Debit Card,Bangalore,Credit Card,Debit,POS Terminal,INR,Retail,Yes,Thursday,September,Night
11-09-2025,Transaction at Air India,7128.7,Travel,Debit Card,Kolkata,Credit Card,Debit,Desktop,INR,Service,Yes,Thursday,September,Night
11-09-2025,Transaction at Kauvery,4536.16,Healthcare,UPI,Pune,Salary,Debit,POS Terminal,INR,Service,Yes,Thursday,September,Morning
11-09-2025,Transaction at Ajio,4921.65,Online Shopping,Credit Card,Pune,Salary,Debit,POS Terminal,INR,Online Store,No,Thursday,September,Evening
11-09-2025,Transaction at Uber,883.23,Transport,Debit Card,Chennai,Savings,Debit,Desktop,INR,Service,Yes,Thursday,September,Night
12-09-2025,Transaction at CloudNine,3742.91,Healthcare,Debit Card,Delhi,Current,Debit,Desktop,INR,Service,Yes,Friday,September,Morning
12-09-2025,Transaction at Netflix,487.16,Entertainment,Net Banking,Kolkata,Current,Debit,Desktop,INR,Subscription,No,Friday,September,Evening
12-09-2025,Transaction at DMart,1853.31,Grocery,Credit Card,Mumbai,Credit Card,Debit,Mobile,INR,Retail,No,Friday,September,Evening
12-09-2025,Transaction at A2B,1269.41,Food,Net Banking,Delhi,Salary,Debit,Desktop,INR,Restaurant,No,Friday,September,Night
12-09-2025,Transaction at Uber,205.94,Transport,UPI,Kolkata,Credit Card,Debit,Desktop,INR,Service,No,Friday,September,Evening
12-09-2025,Transaction at Gas Agency,5965.42,Bills,Debit Card,Delhi,Current,Debit,Desktop,INR,Service,Yes,Friday,September,Night
12-09-2025,Transaction at Max Fashion,5523.12,Clothing,Net Banking,Mumbai,Savings,Debit,POS Terminal,INR,Retail,Yes,Friday,September,Evening
12-09-2025,Transaction at Ola,959.78,Transport,UPI,Hyderabad,Savings,Debit,POS Terminal,INR,Service,Yes,Friday,September,Night
12-09-2025,Transaction at US Polo,5342.4,Clothing,Credit Card,Chennai,Salary,Debit,Desktop,INR,Retail,No,Friday,September,Morning
12-09-2025,Transaction at Reliance Fresh,2331.48,Grocery,Debit Card,Delhi,Current,Debit,Mobile,INR,Retail,Yes,Friday,September,Morning
12-09-2025,Transaction at IRCTC,4581.37,Travel,Net Banking,Bangalore,Salary,Debit,POS Terminal,INR,Service,Yes,Friday,September,Morning
12-09-2025,Transaction at Spotify,857.91,Entertainment,Credit Card,Hyderabad,Current,Debit,POS Terminal,INR,Subscription,Yes,Friday,September,Evening
12-09-2025,Transaction at Apollo Pharmacy,7612.94,Healthcare,Debit Card,Bangalore,Current,Debit,Mobile,INR,Service,No,Friday,September,Afternoon
12-09-2025,Transaction at Rapido,73.7,Transport,UPI,Chennai,Credit Card,Debit,POS Terminal,INR,Service,No,Friday,September,Night
12-09-2025,Transaction at Nilgiris,1217.0,Grocery,UPI,Delhi,Salary,Debit,POS Terminal,INR,Retail,Yes,Friday,September,Afternoon
12-09-2025,Transaction at DMart,4547.68,Grocery,UPI,Pune,Savings,Debit,Mobile,INR,Retail,Yes,Friday,September,Afternoon
12-09-2025,Transaction at H&M,2669.76,Clothing,Net Banking,Bangalore,Current,Debit,Desktop,INR,Retail,No,Friday,September,Night
12-09-2025,Transaction at Subway,112.38,Food,Debit Card,Pune,Savings,Debit,POS Terminal,INR,Restaurant,Yes,Friday,September,Afternoon
12-09-2025,Transaction at Reliance Fresh,262.16,Grocery,Debit Card,Hyderabad,Salary,Debit,Desktop,INR,Retail,Yes,Friday,September,Afternoon
12-09-2025,Transaction at Fortis,6269.66,Healthcare,Credit Card,Delhi,Salary,Debit,Mobile,INR,Service,Yes,Friday,September,Evening
13-09-2025,Transaction at Vivo Store,3229.05,Electronics,UPI,Bangalore,Savings,Debit,Mobile,INR,Retail,Yes,Saturday,September,Afternoon
13-09-2025,Transaction at Nilgiris,1672.23,Grocery,UPI,Delhi,Current,Debit,Mobile,INR,Retail,Yes,Saturday,September,Evening
13-09-2025,Transaction at MedPlus,5490.71,Healthcare,Debit Card,Pune,Savings,Debit,Desktop,INR,Service,Yes,Saturday,September,Afternoon
13-09-2025,Transaction at Star Bazaar,4550.27,Grocery,Credit Card,Pune,Salary,Debit,Mobile,INR,Retail,Yes,Saturday,September,Afternoon
13-09-2025,Transaction at Spencers,1458.15,Grocery,Credit Card,Hyderabad,Salary,Debit,Desktop,INR,Retail,Yes,Saturday,September,Morning
13-09-2025,Transaction at Gaana,624.23,Entertainment,UPI,Kolkata,Savings,Debit,POS Terminal,INR,Subscription,No,Saturday,September,Afternoon
13-09-2025,Transaction at BMTC,408.12,Transport,UPI,Delhi,Credit Card,Debit,POS Terminal,INR,Service,No,Saturday,September,Morning
13-09-2025,Transaction at Amazon Prime,743.99,Entertainment,Debit Card,Delhi,Current,Debit,Mobile,INR,Subscription,Yes,Saturday,September,Afternoon
13-09-2025,Transaction at Flipkart,3482.55,Online Shopping,Credit Card,Delhi,Savings,Debit,POS Terminal,INR,Online Store,No,Saturday,September,Evening
13-09-2025,Transaction at Water Board,404.24,Bills,Debit Card,Bangalore,Current,Debit,Mobile,INR,Service,No,Saturday,September,Evening
13-09-2025,Transaction at Apollo Hospital,7570.81,Healthcare,UPI,Bangalore,Credit Card,Debit,Desktop,INR,Service,Yes,Saturday,September,Morning
14-09-2025,Transaction at Woodland,2849.03,Clothing,Credit Card,Mumbai,Salary,Debit,Mobile,INR,Retail,No,Sunday,September,Evening
14-09-2025,Transaction at Adidas,4632.67,Clothing,Net Banking,Hyderabad,Salary,Debit,Desktop,INR,Retail,No,Sunday,September,Night
14-09-2025,Transaction at Apollo Pharmacy,8840.97,Healthcare,UPI,Pune,Credit Card,Debit,POS Terminal,INR,Service,Yes,Sunday,September,Morning
14-09-2025,Transaction at Nykaa,5006.92,Online Shopping,UPI,Kolkata,Current,Debit,Mobile,INR,Online Store,Yes,Sunday,September,Morning
14-09-2025,Transaction at IRCTC,8686.28,Travel,Net Banking,Pune,Salary,Debit,Mobile,INR,Service,Yes,Sunday,September,Morning
14-09-2025,Transaction at Zara,7344.28,Clothing,Debit Card,Mumbai,Credit Card,Debit,POS Terminal,INR,Retail,No,Sunday,September,Morning
14-09-2025,Transaction at Ola,1527.78,Transport,Debit Card,Mumbai,Salary,Debit,Desktop,INR,Service,Yes,Sunday,September,Evening
14-09-2025,Transaction at Subway,1271.86,Food,UPI,Pune,Savings,Debit,POS Terminal,INR,Restaurant,No,Sunday,September,Afternoon
14-09-2025,Transaction at Rapido,640.96,Transport,Credit Card,Kolkata,Savings,Debit,Desktop,INR,Service,Yes,Sunday,September,Evening
14-09-2025,Transaction at BigBazaar,1358.81,Grocery,Net Banking,Hyderabad,Current,Debit,Desktop,INR,Retail,Yes,Sunday,September,Afternoon
14-09-2025,Transaction at Paradise Biryani,604.6,Food,Credit Card,Hyderabad,Credit Card,Debit,POS Terminal,INR,Restaurant,Yes,Sunday,September,Morning
14-09-2025,Transaction at Paradise Biryani,1396.27,Food,Debit Card,Delhi,Savings,Debit,Desktop,INR,Restaurant,No,Sunday,September,Night
14-09-2025,Transaction at AirAsia,3388.72,Travel,Credit Card,Pune,Savings,Debit,Mobile,INR,Service,No,Sunday,September,Afternoon
14-09-2025,Transaction at Cream Stone,1141.01,Food,Debit Card,Hyderabad,Credit Card,Debit,POS Terminal,INR,Restaurant,Yes,Sunday,September,Evening
15-09-2025,Transaction at Pepperfry,3792.32,Online Shopping,Net Banking,Delhi,Salary,Debit,Desktop,INR,Online Store,Yes,Monday,September,Evening
15-09-2025,Transaction at Chai Point,274.08,Food,Credit Card,Pune,Savings,Debit,Desktop,INR,Restaurant,Yes,Monday,September,Morning
15-09-2025,Transaction at Spencers,4280.42,Grocery,Debit Card,Hyderabad,Savings,Debit,Mobile,INR,Retail,Yes,Monday,September,Afternoon
15-09-2025,Transaction at Yulu Bikes,1317.18,Transport,Net Banking,Kolkata,Savings,Debit,POS Terminal,INR,Service,No,Monday,September,Evening
15-09-2025,Transaction at Gaana,921.1,Entertainment,Net Banking,Hyderabad,Salary,Debit,Desktop,INR,Subscription,No,Monday,September,Afternoon
15-09-2025,Transaction at SonyLiv,99.29,Entertainment,Credit Card,Bangalore,Savings,Debit,POS Terminal,INR,Subscription,Yes,Monday,September,Morning
15-09-2025,Transaction at Cream Stone,498.23,Food,UPI,Hyderabad,Salary,Debit,Desktop,INR,Restaurant,No,Monday,September,Morning
15-09-2025,Transaction at Property Tax Online,2904.84,Bills,Credit Card,Delhi,Credit Card,Debit,Mobile,INR,Service,No,Monday,September,Evening
15-09-2025,Transaction at YouTube Premium,691.42,Entertainment,Net Banking,Delhi,Savings,Debit,Mobile,INR,Subscription,Yes,Monday,September,Night
15-09-2025,Transaction at PharmEasy,7546.04,Healthcare,Net Banking,Mumbai,Savings,Debit,POS Terminal,INR,Service,No,Monday,September,Afternoon
15-09-2025,Transaction at Cream Stone,1167.14,Food,Credit Card,Kolkata,Savings,Debit,POS Terminal,INR,Restaurant,Yes,Monday,September,Morning
15-09-2025,Transaction at Myntra,7822.9,Online Shopping,Credit Card,Bangalore,Credit Card,Debit,Desktop,INR,Online Store,Yes,Monday,September,Evening
15-09-2025,Transaction at Air India,4406.02,Travel,Credit Card,Chennai,Credit Card,Debit,Desktop,INR,Service,Yes,Monday,September,Afternoon
15-09-2025,Transaction at Nature's Basket,4077.1,Grocery,Net Banking,Chennai,Savings,Debit,Mobile,INR,Retail,No,Monday,September,Afternoon
15-09-2025,Transaction at Barbeque Nation,1161.55,Food,Credit Card,Chennai,Current,Debit,POS Terminal,INR,Restaurant,Yes,Monday,September,Night
16-09-2025,Transaction at Biba,1592.02,Clothing,Net Banking,Delhi,Salary,Debit,Desktop,INR,Retail,Yes,Tuesday,September,Evening
16-09-2025,Transaction at Flipkart,3825.15,Online Shopping,UPI,Delhi,Savings,Debit,Desktop,INR,Online Store,Yes,Tuesday,September,Morning
16-09-2025,Transaction at Apple Store,9854.95,Electronics,Net Banking,Chennai,Credit Card,Debit,Desktop,INR,Retail,No,Tuesday,September,Morning
16-09-2025,Transaction at Nature's Basket,370.03,Grocery,Net Banking,Chennai,Salary,Debit,Mobile,INR,Retail,No,Tuesday,September,Morning
16-09-2025,Transaction at Apollo Hospital,8372.26,Healthcare,Debit Card,Chennai,Credit Card,Debit,Mobile,INR,Service,No,Tuesday,September,Morning
16-09-2025,Transaction at Levis,6362.18,Clothing,Credit Card,Hyderabad,Credit Card,Debit,POS Terminal,INR,Retail,Yes,Tuesday,September,Night
16-09-2025,Transaction at Meru Cabs,359.25,Transport,Debit Card,Kolkata,Credit Card,Debit,Desktop,INR,Service,No,Tuesday,September,Evening
16-09-2025,Transaction at Nike,4376.28,Clothing,Debit Card,Delhi,Salary,Debit,POS Terminal,INR,Retail,No,Tuesday,September,Afternoon
16-09-2025,Transaction at CloudNine,8277.85,Healthcare,Net Banking,Hyderabad,Salary,Debit,POS Terminal,INR,Service,No,Tuesday,September,Evening
16-09-2025,Transaction at Mi Store,9409.13,Electronics,UPI,Mumbai,Salary,Debit,Mobile,INR,Retail,Yes,Tuesday,September,Afternoon
16-09-2025,Transaction at Vodafone Idea,4874.2,Bills,Credit Card,Pune,Current,Debit,POS Terminal,INR,Service,Yes,Tuesday,September,Night
16-09-2025,Transaction at YouTube Premium,151.63,Entertainment,Net Banking,Kolkata,Current,Debit,Desktop,INR,Subscription,Yes,Tuesday,September,Afternoon
16-09-2025,Transaction at Star Bazaar,4213.22,Grocery,Debit Card,Delhi,Current,Debit,Mobile,INR,Retail,No,Tuesday,September,Night
16-09-2025,Transaction at Pizza Hut,1402.54,Food,Net Banking,Bangalore,Savings,Debit,POS Terminal,INR,Restaurant,No,Tuesday,September,Morning
16-09-2025,Transaction at Max Fashion,6255.12,Clothing,UPI,Chennai,Current,Debit,POS Terminal,INR,Retail,No,Tuesday,September,Afternoon
16-09-2025,Transaction at SonyLiv,530.8,Entertainment,Debit Card,Mumbai,Current,Debit,POS Terminal,INR,Subscription,Yes,Tuesday,September,Morning
16-09-2025,Transaction at DMart,3347.57,Grocery,Credit Card,Kolkata,Savings,Debit,Mobile,INR,Retail,No,Tuesday,September,Afternoon
16-09-2025,Transaction at AirAsia,5006.35,Travel,Debit Card,Chennai,Credit Card,Debit,Desktop,INR,Service,No,Tuesday,September,Night
16-09-2025,Transaction at Fortis,6980.6,Healthcare,Credit Card,Kolkata,Current,Debit,Desktop,INR,Service,No,Tuesday,September,Night
16-09-2025,Transaction at Zee5,749.57,Entertainment,Credit Card,Delhi,Salary,Debit,Mobile,INR,Subscription,Yes,Tuesday,September,Night
17-09-2025,Transaction at Spencers,4460.32,Grocery,Credit Card,Mumbai,Salary,Debit,Mobile,INR,Retail,No,Wednesday,September,Night
17-09-2025,Transaction at 1mg,762.6,Healthcare,Net Banking,Pune,Credit Card,Debit,POS Terminal,INR,Service,No,Wednesday,September,Afternoon
17-09-2025,Transaction at Nature's Basket,1918.32,Grocery,Net Banking,Mumbai,Salary,Debit,POS Terminal,INR,Retail,No,Wednesday,September,Morning
17-09-2025,Transaction at DMart,2768.78,Grocery,Debit Card,Hyderabad,Credit Card,Debit,Desktop,INR,Retail,No,Wednesday,September,Night
17-09-2025,Transaction at More Supermarket,1329.62,Grocery,Credit Card,Hyderabad,Savings,Debit,Desktop,INR,Retail,Yes,Wednesday,September,Night
17-09-2025,Transaction at Dominos,100.2,Food,UPI,Chennai,Current,Debit,Desktop,INR,Restaurant,No,Wednesday,September,Night
17-09-2025,Transaction at Goibibo,5688.19,Travel,UPI,Kolkata,Savings,Debit,Desktop,INR,Service,No,Wednesday,September,Afternoon
17-09-2025,Transaction at Spencers,3845.15,Grocery,Net Banking,Chennai,Savings,Debit,POS Terminal,INR,Retail,Yes,Wednesday,September,Afternoon
17-09-2025,Transaction at ACT Fibernet,5937.1,Bills,Net Banking,Bangalore,Savings,Debit,Mobile,INR,Service,No,Wednesday,September,Afternoon
17-09-2025,Transaction at Vodafone Idea,714.19,Bills,Credit Card,Kolkata,Salary,Debit,Mobile,INR,Service,No,Wednesday,September,Night
17-09-2025,Transaction at Starbucks,1447.75,Food,Net Banking,Kolkata,Credit Card,Debit,Desktop,INR,Restaurant,Yes,Wednesday,September,Night
17-09-2025,Transaction at Spencers,1954.96,Grocery,Net Banking,Chennai,Salary,Debit,Mobile,INR,Retail,No,Wednesday,September,Afternoon
17-09-2025,Transaction at Reliance Fresh,847.25,Grocery,UPI,Delhi,Current,Debit,Desktop,INR,Retail,No,Wednesday,September,Evening
18-09-2025,Transaction at Reliance Fresh,3451.68,Grocery,UPI,Pune,Salary,Debit,Mobile,INR,Retail,No,Thursday,September,Evening
18-09-2025,Transaction at Subway,650.54,Food,UPI,Mumbai,Salary,Debit,Desktop,INR,Restaurant,No,Thursday,September,Night
18-09-2025,Transaction at Airtel,4886.44,Bills,UPI,Kolkata,Credit Card,Debit,POS Terminal,INR,Service,No,Thursday,September,Evening
18-09-2025,Transaction at DMart,2487.41,Grocery,Net Banking,Delhi,Current,Debit,Mobile,INR,Retail,No,Thursday,September,Morning
18-09-2025,Transaction at Lenskart,6547.56,Online Shopping,Debit Card,Pune,Salary,Debit,Mobile,INR,Online Store,Yes,Thursday,September,Evening
18-09-2025,Transaction at Vodafone Idea,281.92,Bills,UPI,Bangalore,Current,Debit,Desktop,INR,Service,Yes,Thursday,September,Night
18-09-2025,Transaction at Aster,6278.96,Healthcare,Credit Card,Chennai,Savings,Debit,POS Terminal,INR,Service,Yes,Thursday,September,Evening
18-09-2025,Transaction at Water Board,627.92,Bills,Net Banking,Hyderabad,Salary,Debit,POS Terminal,INR,Service,Yes,Thursday,September,Afternoon
18-09-2025,Transaction at Barbeque Nation,225.83,Food,UPI,Mumbai,Savings,Debit,POS Terminal,INR,Restaurant,Yes,Thursday,September,Night
18-09-2025,Transaction at Hotstar,574.87,Entertainment,Net Banking,Mumbai,Savings,Debit,Mobile,INR,Subscription,Yes,Thursday,September,Afternoon
18-09-2025,Transaction at YouTube Premium,668.14,Entertainment,Net Banking,Hyderabad,Salary,Debit,Mobile,INR,Subscription,Yes,Thursday,September,Morning
18-09-2025,Transaction at Star Bazaar,208.97,Grocery,Credit Card,Mumbai,Current,Debit,Desktop,INR,Retail,No,Thursday,September,Night
18-09-2025,Transaction at YouTube Premium,615.44,Entertainment,Credit Card,Bangalore,Salary,Debit,Desktop,INR,Subscription,No,Thursday,September,Evening
18-09-2025,Transaction at Burger King,979.72,Food,Credit Card,Mumbai,Savings,Debit,POS Terminal,INR,Restaurant,No,Thursday,September,Morning
18-09-2025,Transaction at Nature's Basket,1820.03,Grocery,Debit Card,Kolkata,Current,Debit,Desktop,INR,Retail,No,Thursday,September,Morning
18-09-2025,Transaction at YouTube Premium,389.03,Entertainment,Credit Card,Hyderabad,Credit Card,Debit,Mobile,INR,Subscription,Yes,Thursday,September,Evening
18-09-2025,Transaction at Apollo Hospital,6683.48,Healthcare,Credit Card,Chennai,Current,Debit,Desktop,INR,Service,No,Thursday,September,Night
18-09-2025,Transaction at Burger King,862.68,Food,UPI,Hyderabad,Savings,Debit,Mobile,INR,Restaurant,Yes,Thursday,September,Morning
18-09-2025,Transaction at Zee5,800.61,Entertainment,Credit Card,Chennai,Current,Debit,Desktop,INR,Subscription,No,Thursday,September,Afternoon
18-09-2025,Transaction at CloudNine,4551.49,Healthcare,Credit Card,Kolkata,Salary,Debit,POS Terminal,INR,Service,No,Thursday,September,Evening
18-09-2025,Transaction at Ola,1857.53,Transport,Net Banking,Mumbai,Salary,Debit,Desktop,INR,Service,Yes,Thursday,September,Evening
